index,name,status,group_year,movie_id
909,susan,t,1936,18076983
910,susan,t,1977,103021
911,susan,t,1977,1594929
912,susan,t,1977,2390369
913,susan,t,1983,164401
914,susan,t,1983,528472
915,susan,t,1983,3066519
916,susan,t,1989,168597
917,susan,t,1989,1118829
918,susan,t,1989,886560
919,susan,b,1955,63504
920,susan,b,1955,3599765
921,susan,b,1955,12279512
922,susan,b,1949,14348806
923,susan,b,1949,14656940
924,susan,b,1949,15098674
925,susan,i,2004,19938184
926,susan,i,2003,1394661
927,susan,i,2005,8640693
928,susan,i,2006,6698438
929,susan,i,2008,20191846
930,foster,t,1991,5303308
931,foster,t,1991,1670736
932,foster,t,1991,4380389
933,foster,i,2011,31641920
934,foster,i,2013,32267545
935,foster,i,1941,5224
936,foster,i,2012,29165410
937,foster,i,2010,22967108
938,walter,t,1936,61508
939,walter,t,1936,17007116
940,walter,t,1936,31229030
941,walter,t,1961,2001498
942,walter,t,1961,1676837
943,walter,t,1961,16771910
944,walter,t,2012,13713239
945,walter,t,2012,29609480
946,walter,t,2012,16166559
947,walter,b,1943,5224
948,walter,b,1943,73438
949,walter,b,1943,74018
950,walter,b,1972,7754795
951,walter,b,1972,16875572
952,walter,b,1972,22423378
953,walter,i,1998,20668190
954,walter,i,1979,18951054
955,walter,i,2006,25997877
956,walter,i,1984,1195560
957,walter,i,2002,3050696
958,carter,t,2000,666923
959,carter,t,2000,407288
960,carter,t,2000,489800
961,carter,t,1994,1321819
962,carter,t,1994,171540
963,carter,t,1994,234731
964,carter,t,1988,213472
965,carter,t,1988,1496622
966,carter,t,1988,3681139
967,carter,b,1975,1069944
968,carter,b,1975,19152358
969,carter,b,1975,1412382
970,carter,i,2011,35159749
971,carter,i,1941,9382558
972,carter,i,2012,35287202
973,carter,i,2005,18184645
974,carter,i,2007,25433348
975,emily,t,1971,26273543
976,emily,t,1989,348994
977,emily,t,1989,1872336
978,emily,t,1989,29536294
979,emily,t,1933,1623252
980,emily,t,1933,60173
981,emily,t,1962,3954948
982,emily,t,1962,2229732
983,emily,t,1962,1888433
984,emily,b,2004,4597853
985,emily,b,2004,4902239
986,emily,b,2004,448735
987,emily,b,1998,189088
988,emily,b,1998,22751
989,emily,b,1998,1487312
990,emily,b,1941,5224
991,emily,b,1941,77685
992,emily,b,1941,1394722
993,emily,i,2011,32066330
994,emily,i,2008,13023421
995,emily,i,2007,24966098
996,emily,i,2010,29107564
997,emily,i,1979,74930
998,norton,i,1994,30625
999,norton,i,1941,5224
1000,norton,i,2007,31434603
1001,norton,i,2008,3119257
1002,norton,i,2010,25969438
1003,lien,i,2000,5313
1004,bai,i,2000,5313
1005,bai,i,2004,213462
1006,bai,i,2008,3478537
1007,bai,i,2010,20015850
1008,bai,i,1983,13457412
1009,may,b,1983,583932
1010,may,b,1983,6766262
1011,may,i,2002,898561
1012,may,i,2004,612052
1013,may,i,2012,25862453
1014,may,i,2000,16038065
1015,may,i,2007,7865977
